128.0,101.0,-2.0,-80.0,206.0,331.0,477.0
254.0,111.0,111.0,111.0,89.5,111.0,40.5
127.5,48.0,353.0,344.0,31.5,48.0,312.0
141.0,120.5,-13.5,111.0,238.5,281.0,111.0
16.5,16.5,16.5,16.5,16.5,16.5,427.5
7.5,7.5,7.5,379.5,7.5,275.5,7.5
-4.5,31.5,160.5,31.5,138.0,-4.5,31.5
101.5,29.0,120.0,-13.5,29.0,695.5,29.0
91.5,91.5,58.0,91.5,91.5,91.5,91.5
100.5,142.5,109.5,142.5,142.5,142.5,142.5
109.5,109.5,109.5,109.5,32.5,109.5,109.5
48.0,109.5,141.0,144.0,112.5,150.5,162.0
109.5,185.0,139.5,185.0,185.0,202.5,202.5
157.5,89.5,152.0,109.5,152.0,152.0,207.0
109.5,109.5,152.0,152.0,192.0,109.5,234.0
237.0,218.0,237.0,235.0,237.0,237.0,237.0
209.0,158.0,206.0,183.0,69.5,209.0,209.0
242.0,457.5,109.5,242.0,332.0,242.0,242.0
322.5,19.5,321.0,109.5,420.0,112.5,119.5
268.0,13.5,268.0,268.0,268.0,268.0,157.0
169.5,114.0,-254.0,339.5,297.5,434.5,122.5
158.0,382.0,4.0,304.0,304.0,110.0,-13.5
367.0,134.0,440.5,367.0,353.5,217.0,353.5
170.5,112.5,114.0,112.5,114.0,114.0,109.5
-261.0,-261.0,112.5,112.5,114.0,109.5,114.0
225.5,112.5,146.5,155.0,125.0,155.0,184.5
134.5,192.0,271.5,112.5,192.0,192.0,326.0
-72.5,249.0,221.5,-143.5,214.5,563.0,410.0
112.5,270.0,268.5,165.0,348.5,418.5,162.0
303.0,444.0,246.0,415.5,303.0,258.0,414.0
152.0,315.0,243.0,315.5,695.0,371.5,334.5
112.5,109.5,197.5,436.5,144.5,194.5,197.5
636.0,92.5,556.0,114.5,186.0,557.5,557.5
565.5,662.5,670.0,552.5,670.0,437.5,670.0
614.5,614.5,614.5,637.0,614.5,637.0,637.0
125.0,312.0,601.5,648.5,562.5,585.0,268.0
575.0,673.5,552.5,575.0,696.0,552.5,611.5
552.5,530.0,552.5,552.5,552.5,552.5,552.5
552.5,534.5,552.5,552.5,530.0,552.5,552.5
552.5,503.0,957.5,552.5,552.5,552.5,530.0
552.5,755.0,575.0,552.5,552.5,125.0,552.5
552.5,207.5,552.5,552.5,408.5,627.5,650.0
530.0,552.5,980.0,552.5,530.0,500.0,567.5
457.0,457.0,457.0,457.0,457.0,457.0,457.0
308.5,137.5,308.5,308.5,308.5,308.5,308.5
511.0,511.0,511.0,511.0,511.0,511.0,511.0
143.5,124.0,124.0,124.0,124.0,124.0,124.0
550.0,541.0,550.0,550.0,542.5,550.0,550.0
226.5,226.5,259.0,259.0,134.0,134.0,259.0
205.0,452.5,227.5,219.0,452.5,219.0,452.5
547.0,524.5,547.0,571.0,524.5,524.5,547.0
551.5,551.5,551.5,529.0,551.5,529.0,529.0
551.5,551.5,551.5,551.5,529.0,551.5,574.0
551.5,529.0,551.5,551.5,380.5,551.5,529.0
162.0,403.0,425.5,425.5,425.5,425.5,425.5
461.5,439.0,628.0,461.5,619.0,439.0,439.0
611.5,607.0,484.0,461.5,223.0,484.0,439.0
515.5,515.5,641.5,515.5,493.0,515.5,493.0
323.5,349.5,323.5,323.5,323.5,323.5,323.5
119.5,122.5,384.0,-258.5,123.0,396.0,313.5
547.0,664.5,547.0,582.0,547.0,664.5,790.5
547.0,119.5,528.0,140.0,547.0,517.0,538.0
430.0,251.5,318.5,323.5,323.5,338.0,323.5
341.5,350.5,149.5,490.0,331.0,323.5,323.5
323.5,490.0,323.5,323.5,481.0,323.5,326.5
467.5,-128.0,467.5,470.5,467.5,305.5,470.5
386.0,386.0,387.5,365.0,365.0,386.0,386.0
417.5,524.5,408.5,458.5,408.5,458.5,436.0
305.5,522.5,522.5,522.5,522.5,501.5,501.5
578.5,377.5,377.5,412.0,377.5,412.0,355.0
537.5,440.0,516.5,537.5,537.5,537.5,537.5
516.5,346.0,400.0,409.0,470.5,509.5,409.0
479.5,440.0,440.0,417.5,440.0,440.0,693.5
560.0,537.5,537.5,537.5,740.0,537.5,740.0
166.0,323.5,323.5,323.5,323.5,538.5,368.5
323.5,479.5,430.0,409.0,404.5,407.5,430.0
623.5,580.0,601.0,698.5,601.0,601.0,601.0
256.0,751.0,751.0,751.0,751.0,751.0,728.5
604.0,872.5,440.0,656.5,656.5,656.5,634.0
-101.0,244.5,643.0,665.5,665.5,665.5,643.0
664.0,275.5,435.0,400.0,432.0,296.0,403.5
397.0,233.5,548.0,358.5,308.5,323.0,327.5
248.5,762.5,685.0,685.0,762.5,586.0,685.0
325.0,473.5,248.5,492.0,473.5,473.5,473.5
1115.0,1115.0,834.5,863.0,846.5,885.5,851.0
1115.0,1115.0,1092.5,1115.0,1115.0,1092.5,1115.0
813.5,804.5,836.0,813.5,791.0,836.0,836.0
975.5,975.5,813.5,836.0,782.0,836.0,791.0
1043.0,1002.5,1043.0,1074.5,863.0,1074.5,1043.0
579.5,818.0,824.0,920.0,875.0,807.5,920.0
698.0,630.5,1067.0,698.0,1044.5,1067.0,1044.5
203.5,629.0,722.0,722.0,722.0,722.0,722.0
795.5,557.0,485.0,162.5,579.5,579.5,579.5
512.0,512.0,512.0,512.0,512.0,489.0,512.0
587.0,534.5,534.5,534.5,534.5,512.0,534.5
512.0,512.0,489.5,512.0,512.0,512.0,512.0
716.0,896.0,896.0,896.0,896.0,873.5,896.0
981.5,981.5,554.0,621.5,621.5,621.5,599.0
533.0,576.5,576.5,554.0,576.5,554.0,576.5
531.5,509.0,531.5,531.5,453.5,531.5,531.5
594.5,594.5,729.5,729.5,729.5,729.5,729.5
599.5,581.5,549.5,549.5,581.5,599.5,599.5
617.5,617.5,617.5,617.5,617.5,617.5,617.5
581.5,531.5,604.0,604.0,604.0,604.0,604.0
581.5,707.5,581.5,657.5,707.5,707.5,707.5
581.5,531.5,568.0,594.0,164.0,596.5,604.0
769.5,769.5,769.5,769.5,549.0,769.5,769.5
